test,Z1,Z2,is_positive_sentiment,sentiment_certainty,stars,n_words,useful,useful_discrete,n_fans,n_reviews
1,1,0,1.0,0.974004864692688,4,542,4,1,3,38
0,1,1,1.0,0.9997196793556212,5,114,1,1,29,182
0,1,1,1.0,0.99168199300766,5,54,0,0,1,31
1,0,0,1.0,0.9990336894989014,5,70,0,0,1,34
1,0,0,1.0,0.9997996091842652,5,27,0,0,8,53
0,1,1,1.0,0.9989940524101256,4,68,0,0,0,15
1,0,0,1.0,0.9969810247421264,4,54,0,0,3,43
1,1,0,0.0,0.9996248483657836,1,737,1,1,1,26
0,1,1,1.0,0.9933375120162964,5,162,0,0,33,699
0,1,1,1.0,0.9997993111610411,5,50,0,0,0,5
1,1,1,1.0,0.9983358383178712,5,160,0,0,13,48
1,0,0,0.0,0.9995552897453308,1,94,0,0,1,8
1,0,0,1.0,0.9998871088027954,5,35,0,0,0,21
0,1,1,1.0,0.9998682141304016,4,24,0,0,0,202
1,0,0,1.0,0.999746799468994,5,35,0,0,1,17
0,1,1,0.0,0.9983930587768556,2,72,4,1,5,70
1,1,0,0.0,0.9995335340499878,1,320,1,1,2,31
1,0,0,0.0,0.9171268939971924,2,25,0,0,3,114
1,0,0,0.0,0.9995585083961488,2,49,0,0,0,4
1,0,0,1.0,0.9989289045333862,5,121,0,0,0,8
1,0,0,0.0,0.9996970891952516,3,44,0,0,0,46
1,0,0,1.0,0.9787769317626952,3,205,0,0,10,208
0,0,0,1.0,0.9996357560157776,5,139,1,1,2,60
1,1,1,1.0,0.9974265694618224,5,115,1,1,3,153
1,0,0,1.0,0.9905309081077576,2,78,0,0,1,7
1,0,0,0.0,0.9992955923080444,1,85,1,1,0,27
1,0,0,1.0,0.9997785687446594,5,43,0,0,0,6
0,0,0,1.0,0.9395212531089784,4,166,8,1,39,417
1,1,0,1.0,0.9994524121284484,5,565,7,1,16,175
1,0,0,1.0,0.9911224246025084,4,246,1,1,33,335
1,1,1,0.0,0.9979397058486938,1,238,9,1,0,5
0,1,1,0.0,0.9996548295021056,2,58,2,1,1,30
1,0,0,1.0,0.9924759864807128,4,104,1,1,0,47
1,0,0,1.0,0.9949822425842284,4,151,0,0,0,34
0,1,1,1.0,0.9790968894958496,4,90,0,0,7,127
0,1,1,1.0,0.994214415550232,4,12,0,0,4,103
1,0,0,1.0,0.9922261238098145,3,110,0,0,0,15
1,0,0,1.0,0.9997073411941528,5,32,1,1,54,735
1,0,0,1.0,0.9958577156066896,3,38,0,0,1,17
0,1,1,0.0,0.998787760734558,1,145,0,0,0,5
1,0,0,1.0,0.9985546469688416,4,189,13,1,75,226
1,0,0,0.0,0.9939769506454468,1,74,0,0,0,5
1,0,0,1.0,0.9997975826263428,5,45,0,0,0,66
0,1,1,0.0,0.5014660358428955,5,27,0,0,2,56
1,0,0,1.0,0.6590321660041809,5,70,0,0,5,126
0,0,0,1.0,0.9979799389839172,5,109,0,0,0,14
1,0,0,1.0,0.9990649819374084,5,46,3,1,2,44
1,1,1,0.0,0.9883996844291688,4,156,2,1,72,1383
1,1,0,1.0,0.9986281394958496,5,352,4,1,13,105
1,1,1,1.0,0.9992442131042479,5,199,2,1,108,392
1,0,0,1.0,0.999259114265442,5,75,4,1,74,510
1,0,0,1.0,0.9986443519592284,4,104,1,1,0,10
1,1,1,0.0,0.811802327632904,3,102,0,0,2,57
0,0,0,0.0,0.9995815753936768,1,246,1,1,0,17
1,1,0,0.0,0.8493632078170776,4,353,31,1,75,1058
0,1,1,1.0,0.9997991919517516,5,29,0,0,1,15
1,1,1,0.0,0.9660134315490724,3,136,1,1,15,557
1,0,0,1.0,0.9991827607154846,5,79,0,0,3,30
1,1,1,1.0,0.9987825751304626,5,121,0,0,0,13
0,0,0,1.0,0.9069249629974364,1,186,0,0,0,56
0,1,1,1.0,0.982539176940918,2,86,0,0,0,8
0,1,1,1.0,0.9421855211257936,5,104,1,1,285,12772
1,0,0,1.0,0.9990158081054688,5,170,0,0,0,47
1,1,0,1.0,0.9794399738311768,5,749,18,1,40,393
1,0,0,0.0,0.9860361218452454,4,96,0,0,2,28
1,0,0,1.0,0.9996322393417358,5,94,1,1,8,125
1,1,1,1.0,0.9961746335029602,2,157,2,1,8,203
1,1,1,0.0,0.9916383624076844,2,104,1,1,2,59
1,0,0,1.0,0.9668339490890504,3,90,0,0,7,263
1,0,0,0.0,0.999458909034729,1,106,0,0,1,141
1,0,0,1.0,0.9983342289924622,4,123,5,1,26,232
1,1,1,1.0,0.9998511075973512,5,39,0,0,0,3
1,0,0,1.0,0.998846173286438,5,156,0,0,0,67
1,1,1,0.0,0.9984758496284484,1,115,1,1,0,7
0,1,1,1.0,0.9998003840446472,5,100,1,1,1,82
1,0,0,0.0,0.9992284178733826,1,74,0,0,0,39
0,1,1,0.0,0.9903496503829956,2,54,0,0,0,39
1,0,0,1.0,0.9995688796043396,5,42,0,0,0,18
0,1,0,0.0,0.7835505604743958,4,450,0,0,0,36
1,0,0,1.0,0.9997233152389526,5,36,0,0,0,31
1,0,0,0.0,0.9983925223350524,1,77,3,1,0,10
0,1,1,0.0,0.9995754957199096,1,132,0,0,0,5
1,0,0,1.0,0.9996722936630248,5,45,0,0,1,24
1,0,0,1.0,0.9986567497253418,3,56,1,1,3,59
0,1,1,1.0,0.999400556087494,4,60,0,0,0,32
1,0,0,1.0,0.9995133280754088,5,52,0,0,0,41
1,1,0,0.0,0.9959824681282043,5,279,4,1,18,163
1,0,0,0.0,0.9994494915008544,1,109,1,1,0,15
1,0,0,1.0,0.9988014698028564,5,73,2,1,44,442
1,0,0,0.0,0.9729358553886414,2,99,0,0,0,24
0,1,1,1.0,0.999841570854187,4,29,0,0,0,27
1,0,0,1.0,0.9989997744560242,5,73,0,0,0,19
0,1,1,1.0,0.9992592334747314,4,45,0,0,0,52
1,0,0,1.0,0.996389627456665,5,104,0,0,2,229
1,1,1,1.0,0.9996362924575806,4,122,0,0,0,10
0,1,1,0.0,0.9997234344482422,1,98,1,1,0,50
1,1,1,0.0,0.6507813334465027,4,219,3,1,5,39
1,0,0,1.0,0.9998664259910583,5,22,0,0,0,23
1,1,1,0.0,0.9973106980323792,3,278,0,0,4,50
0,1,1,0.0,0.9992777109146118,1,145,0,0,0,2
0,1,1,1.0,0.9998385906219482,5,89,0,0,5,129
0,1,1,0.0,0.9955351948738098,2,97,2,1,14,443
1,0,0,1.0,0.9961669445037842,4,213,0,0,0,28
0,1,0,1.0,0.795174241065979,4,328,2,1,1,19
1,1,1,1.0,0.9988979697227478,5,203,0,0,2,58
1,0,0,1.0,0.9997616410255432,5,165,1,1,14,484
1,0,0,1.0,0.9985836148262024,5,167,6,1,47,628
1,0,0,0.0,0.9995739459991456,2,133,0,0,8,478
1,0,0,1.0,0.9613451957702636,3,318,1,1,10,300
0,1,1,1.0,0.9998354315757751,5,45,0,0,0,10
1,1,0,1.0,0.9987961649894714,4,380,0,0,1,71
1,1,1,0.0,0.5954500436782837,4,315,14,1,86,577
0,1,1,1.0,0.9993689060211182,4,51,0,0,0,9
0,0,0,0.0,0.9627410173416138,4,285,11,1,393,1337
0,1,1,1.0,0.997539520263672,4,77,0,0,7,71
1,1,1,1.0,0.9987251758575441,5,117,0,0,1,45
1,0,0,0.0,0.9996803402900696,2,61,0,0,0,61
1,1,0,1.0,0.5329266786575317,5,384,1,1,10,280
1,1,1,1.0,0.9756459593772888,5,63,0,0,0,11
1,0,0,0.0,0.9303735494613647,2,165,0,0,0,29
1,0,0,0.0,0.9967224597930908,3,34,0,0,0,81
1,0,0,1.0,0.9955229759216307,4,116,1,1,4,130
0,1,1,0.0,0.9992937445640564,1,33,0,0,5,157
0,1,1,1.0,0.5013679265975952,4,78,0,0,35,293
1,0,0,0.0,0.9916127324104308,3,19,1,1,0,68
1,0,0,1.0,0.9994062781333924,5,73,0,0,0,34
1,0,0,0.0,0.9989827871322632,2,151,1,1,275,2638
1,1,1,1.0,0.9989449381828308,5,220,0,0,3,94
0,0,0,0.0,0.9824860095977784,3,148,2,1,5,59
1,0,0,1.0,0.998294234275818,5,64,2,1,13,92
0,1,1,1.0,0.999784290790558,5,114,0,0,0,45
1,0,0,1.0,0.9938728809356691,5,129,0,0,4,29
1,0,0,1.0,0.9941463470458984,4,124,0,0,0,35
1,0,0,1.0,0.9996283650398254,5,33,0,0,1,50
1,0,0,0.0,0.9345216155052184,1,5,0,0,0,1
1,0,0,1.0,0.9982970356941224,5,171,0,0,0,87
1,0,0,1.0,0.999444544315338,5,54,0,0,0,42
1,0,0,1.0,0.9997230172157288,5,28,0,0,0,73
0,1,1,1.0,0.9997323751449584,1,41,0,0,4,343
0,0,0,1.0,0.9996007680892944,5,213,1,1,19,228
1,1,0,1.0,0.9868547916412354,5,340,5,1,11,209
1,0,0,1.0,0.7349497675895691,4,150,0,0,41,701
1,0,0,0.0,0.9971736669540404,2,89,3,1,80,1421
1,0,0,1.0,0.9924730658531188,2,196,0,0,35,351
1,0,0,1.0,0.9992244839668274,4,19,0,0,1,33
1,1,1,1.0,0.9871048927307128,4,139,0,0,37,1302
1,0,0,1.0,0.9997653365135192,4,90,0,0,2,79
0,1,1,1.0,0.9997586011886596,5,55,0,0,7,80
0,0,0,1.0,0.996425211429596,4,185,1,1,30,176
0,1,1,0.0,0.9997410178184508,1,52,1,1,0,4
0,1,1,1.0,0.6768161058425903,4,54,0,0,2,42
1,0,0,0.0,0.9979624748229979,3,241,0,0,0,19
1,0,0,0.0,0.9994306564331056,1,192,0,0,1,41
1,0,0,1.0,0.9958175420761108,5,59,0,0,0,12
1,0,0,1.0,0.9998543262481691,5,42,0,0,2,17
1,0,0,1.0,0.7881125211715698,3,25,0,0,6,47
0,1,1,1.0,0.9439764022827148,5,74,0,0,5,26
1,0,0,1.0,0.9886139035224916,5,100,1,1,0,44
1,1,0,0.0,0.9994567632675172,1,499,10,1,3,76
1,1,1,1.0,0.9998157024383544,5,74,0,0,2,209
1,0,0,1.0,0.9990416765213012,5,66,0,0,0,29
1,0,0,0.0,0.9881282448768616,3,156,0,0,5,107
0,0,0,0.0,0.663702666759491,3,169,0,0,1,510
1,0,0,1.0,0.9998240470886229,5,37,0,0,2,145
0,1,1,0.0,0.9977909326553344,1,99,0,0,0,4
1,0,0,1.0,0.9997692704200744,4,16,0,0,0,6
1,0,0,1.0,0.9993916749954224,5,85,0,0,0,17
1,0,0,1.0,0.9990514516830444,4,28,0,0,0,7
1,0,0,1.0,0.9987223148345948,4,93,1,1,1,40
0,1,0,0.0,0.9942339658737184,3,358,3,1,39,270
1,0,0,1.0,0.9993353486061096,4,231,0,0,19,186
0,1,1,0.0,0.99949449300766,1,145,0,0,0,6
1,0,0,1.0,0.9994449019432068,5,202,2,1,1,53
1,1,1,0.0,0.9795963764190674,1,81,0,0,0,4
0,1,1,1.0,0.9997832775115968,5,25,1,1,0,39
1,1,0,1.0,0.9985932111740112,5,322,9,1,67,717
0,1,1,1.0,0.9997795820236206,5,18,0,0,9,288
1,0,0,1.0,0.9989000558853148,4,224,0,0,0,50
1,0,0,1.0,0.991689383983612,5,78,0,0,8,32
0,1,1,0.0,0.9992706179618835,3,112,2,1,8,68
1,0,0,1.0,0.9991511106491088,4,63,0,0,1,95
1,0,0,1.0,0.9997839331626892,5,105,0,0,1,94
1,0,0,1.0,0.9963867664337158,4,103,0,0,0,17
1,0,0,1.0,0.9949232935905457,4,56,0,0,2,44
1,0,0,1.0,0.9961884021759032,3,27,2,1,3,90
1,0,0,1.0,0.999419093132019,4,60,0,0,0,13
1,1,0,1.0,0.9922776222229004,3,268,0,0,44,386
1,0,0,1.0,0.9997998476028442,5,26,0,0,2,56
1,0,0,0.0,0.9995688796043396,2,35,0,0,0,21
1,1,0,0.0,0.8081591129302979,4,306,3,1,58,831
1,0,0,1.0,0.9787613153457642,4,85,0,0,5,101
1,0,0,1.0,0.9995452165603638,5,109,1,1,17,215
0,1,1,1.0,0.9998750686645508,4,60,8,1,22,200
1,0,0,1.0,0.9981914758682252,4,89,0,0,15,212
0,0,0,1.0,0.7848955392837524,5,230,0,0,0,32
0,1,1,0.0,0.9591699242591858,4,99,2,1,4,17
1,0,0,1.0,0.9972302913665771,5,49,0,0,1,40
0,1,1,1.0,0.9981558322906494,5,150,0,0,0,60
1,1,1,0.0,0.9959871172904968,2,50,0,0,0,7
1,1,0,0.0,0.9995342493057252,3,632,5,1,20,93
1,1,1,1.0,0.9721271991729736,5,81,1,1,0,18
0,1,1,1.0,0.9949960708618164,5,75,0,0,2,41
1,0,0,1.0,0.9516220092773438,2,116,3,1,22,233
0,1,1,0.0,0.993453562259674,2,92,0,0,1,93
1,0,0,0.0,0.9978829622268676,2,275,1,1,11,182
0,1,1,0.0,0.9983676075935364,3,178,0,0,9,236
0,1,0,0.0,0.96163672208786,3,366,3,1,14,357
1,0,0,0.0,0.999262511730194,2,150,0,0,1,3
0,1,0,1.0,0.9994410276412964,5,296,6,1,46,702
0,1,1,1.0,0.9998551011085509,5,31,0,0,0,179
1,0,0,1.0,0.9997637867927552,5,15,0,0,8,96
1,0,0,1.0,0.9998838305473328,5,25,0,0,1,20
0,0,0,1.0,0.9955657124519348,5,118,1,1,0,12
0,1,1,0.0,0.9970234036445618,2,16,0,0,1,96
1,1,1,1.0,0.999194860458374,5,88,1,1,2,24
1,0,0,1.0,0.9997845292091371,4,84,0,0,8,84
1,0,0,1.0,0.997868537902832,5,137,0,0,0,30
1,1,1,0.0,0.9949627518653871,1,249,0,0,0,5
0,1,0,1.0,0.991465985774994,5,298,0,0,0,35
1,0,0,1.0,0.9993542432785034,5,131,1,1,18,117
0,1,1,0.0,0.9993502497673036,1,45,1,1,0,2
1,1,1,0.0,0.7885354161262512,5,89,1,1,26,725
0,0,0,1.0,0.9996127486228944,5,138,1,1,1,37
1,0,0,1.0,0.99864262342453,5,146,1,1,8,70
1,0,0,1.0,0.9912179708480836,4,167,2,1,1,31
0,0,0,1.0,0.9994059205055236,4,139,0,0,3,235
0,1,1,1.0,0.9942827224731444,5,93,2,1,3,93
1,0,0,1.0,0.9986070394515992,3,74,2,1,0,4
0,0,0,1.0,0.7200706601142883,5,198,8,1,71,577
0,1,1,1.0,0.9520624279975892,4,60,0,0,0,166
0,1,1,1.0,0.9983502030372621,5,79,0,0,1,19
1,0,0,1.0,0.9990527629852296,4,188,0,0,123,1616
0,1,0,1.0,0.8485403656959534,2,324,2,1,0,7
1,1,0,0.0,0.9917110800743104,2,331,4,1,16,100
1,0,0,0.0,0.7904977202415466,3,112,3,1,0,30
1,0,0,0.0,0.9997112154960632,2,185,1,1,0,3
1,0,0,1.0,0.9983902573585509,4,25,0,0,0,25
1,0,0,0.0,0.9955484867095948,3,53,0,0,11,565
1,1,1,1.0,0.9478198885917664,2,210,0,0,0,8
1,0,0,0.0,0.9977602362632751,2,160,2,1,1,52
1,0,0,1.0,0.9997072219848632,5,75,1,1,2,21
0,1,1,1.0,0.9998579621315002,5,46,0,0,0,7
1,1,1,1.0,0.9994793534278871,4,66,0,0,0,11
1,1,0,1.0,0.7403354048728943,5,525,4,1,30,337
1,1,1,1.0,0.9904404282569884,3,125,0,0,7,68
1,0,0,1.0,0.6686033010482788,5,130,2,1,21,228
0,1,0,0.0,0.9969343543052672,2,493,0,0,0,22
1,0,0,1.0,0.9993131756782532,5,57,0,0,0,6
1,1,1,1.0,0.9998260736465454,5,53,0,0,0,54
1,0,0,1.0,0.9993919134140016,4,44,0,0,2,339
1,1,1,1.0,0.9996537566184998,5,89,0,0,0,5
1,1,1,0.0,0.9990793466567992,2,98,0,0,0,6
1,0,0,1.0,0.9995731711387634,5,7,0,0,0,9
1,1,1,0.0,0.9968135356903076,3,60,1,1,1,25
1,0,0,1.0,0.8705717921257019,4,198,6,1,19,130
0,1,1,0.0,0.9994179606437684,2,13,0,0,0,5
1,0,0,0.0,0.9985216856002808,3,179,0,0,3,43
1,0,0,1.0,0.9280236959457396,5,51,1,1,1,29
1,0,0,1.0,0.9959720373153688,4,186,2,1,72,1241
0,1,1,1.0,0.9994528889656068,4,73,0,0,8,123
0,1,1,1.0,0.9974268674850464,3,97,1,1,0,48
1,0,0,0.0,0.9842537641525269,2,171,2,1,0,48
0,1,1,0.0,0.8730183243751526,2,91,0,0,36,1003
1,0,0,0.0,0.999281406402588,2,79,0,0,0,19
0,1,1,1.0,0.9998518824577332,5,60,2,1,0,7
1,1,1,1.0,0.9675579071044922,4,155,2,1,102,2198
1,1,0,1.0,0.9805541634559632,5,513,0,0,2,70
1,0,0,1.0,0.9991291165351868,5,115,1,1,0,37
1,0,0,0.0,0.9966982007026672,1,43,0,0,8,47
1,1,0,1.0,0.998215675354004,5,241,0,0,2,25
0,0,0,1.0,0.99836266040802,5,181,0,0,0,28
0,0,0,0.0,0.5132662653923035,4,189,1,1,0,39
1,1,0,1.0,0.9995513558387756,4,340,4,1,1,61
1,0,0,0.0,0.9995187520980836,2,34,0,0,0,17
1,1,1,1.0,0.9998731017112732,5,57,0,0,0,16
0,1,1,0.0,0.999352753162384,2,103,0,0,0,5
1,0,0,0.0,0.9997506141662598,1,60,0,0,1,7
1,1,1,0.0,0.9965133666992188,2,276,2,1,1,52
1,0,0,1.0,0.9990485310554504,5,53,1,1,4,285
1,0,0,1.0,0.999064564704895,4,34,0,0,1,20
1,1,1,0.0,0.9985316395759584,2,366,0,0,0,12
0,1,1,1.0,0.9997771382331848,5,129,0,0,1,22
1,0,0,0.0,0.6168138980865479,5,63,0,0,2,62
1,0,0,0.0,0.7674698829650879,5,46,0,0,0,2
1,0,0,1.0,0.9376875162124634,3,51,0,0,0,15
1,0,0,1.0,0.995050013065338,4,70,0,0,4,283
1,0,0,0.0,0.9954513907432556,4,154,0,0,0,15
1,0,0,1.0,0.9998347759246826,5,63,1,1,0,7
1,0,0,1.0,0.9956563711166382,5,32,0,0,6,128
0,1,1,1.0,0.999664068222046,5,124,0,0,4,35
1,0,0,0.0,0.9882544875144958,5,68,1,1,25,352
1,0,0,0.0,0.9992295503616332,2,47,0,0,0,5
0,1,1,0.0,0.5373329520225525,4,84,1,1,3,122
1,0,0,0.0,0.9995097517967224,1,63,1,1,0,1
0,0,0,0.0,0.9969139695167542,3,272,0,0,19,470
0,1,1,1.0,0.998307168483734,4,36,0,0,2,13
1,1,0,1.0,0.9883918166160583,4,405,0,0,10,234
1,0,0,1.0,0.9953536987304688,4,93,0,0,0,15
1,1,0,1.0,0.9989423155784608,5,540,5,1,135,938
1,0,0,1.0,0.999868869781494,5,28,0,0,1,177
1,1,1,1.0,0.9998827576637268,5,12,0,0,0,11
1,0,0,1.0,0.9917592406272888,3,113,1,1,6,170
1,0,0,1.0,0.999723732471466,5,81,0,0,0,24
1,0,0,1.0,0.9985079765319824,3,92,0,0,14,414
0,0,0,1.0,0.7253790497779846,4,177,1,1,2,120
1,1,1,1.0,0.9867830276489258,5,119,0,0,0,11
1,0,0,0.0,0.861058235168457,5,83,1,1,0,39
1,1,1,1.0,0.999518096446991,5,102,0,0,4,101
1,0,0,1.0,0.99876469373703,3,62,0,0,0,2
0,1,1,1.0,0.997260808944702,5,40,1,1,0,12
0,1,1,1.0,0.9994773268699646,5,41,0,0,0,14
1,0,0,1.0,0.9978113174438475,5,48,0,0,21,223
1,0,0,1.0,0.9912254214286804,4,177,1,1,0,51
1,0,0,1.0,0.9998551607131958,5,47,0,0,0,86
1,1,1,0.0,0.9958539009094238,2,145,1,1,1,123
1,0,0,1.0,0.9998666644096376,5,57,0,0,2,174
1,1,1,1.0,0.9998741149902344,5,35,1,1,0,2
0,1,1,1.0,0.9998199343681335,4,39,0,0,1,14
1,0,0,1.0,0.6081480979919434,3,215,0,0,0,23
0,1,0,1.0,0.9995181560516356,5,327,1,1,11,274
1,1,0,1.0,0.9696907997131348,4,246,0,0,0,170
0,1,1,1.0,0.9995712041854858,5,18,1,1,2,19
1,0,0,1.0,0.9992916584014891,5,77,0,0,0,32
1,1,1,1.0,0.9998685717582704,5,17,0,0,0,10
1,0,0,1.0,0.999650776386261,5,69,0,0,0,26
1,1,1,1.0,0.999036967754364,4,140,0,0,11,612
1,0,0,1.0,0.9989738464355468,5,95,0,0,0,9
1,0,0,1.0,0.9817933440208436,4,91,2,1,97,852
1,0,0,1.0,0.9918848872184752,4,78,0,0,1,16
1,1,0,1.0,0.9962400794029236,5,379,6,1,77,257
1,0,0,0.0,0.977193295955658,2,131,0,0,8,324
0,1,1,0.0,0.999664068222046,3,57,0,0,0,13
1,0,0,1.0,0.9981592893600464,5,175,4,1,21,401
0,1,1,1.0,0.9995588660240172,5,40,0,0,0,1
0,1,1,1.0,0.9405438899993896,3,37,0,0,1,30
1,0,0,1.0,0.999866783618927,5,46,0,0,0,55
1,0,0,1.0,0.9960281252861024,5,32,0,0,0,68
0,0,0,1.0,0.9982272982597352,5,163,1,1,15,101
0,1,1,1.0,0.9989160895347596,5,163,4,1,46,352
0,1,0,1.0,0.9914204478263856,4,326,1,1,8,62
0,0,0,1.0,0.9990472197532654,5,127,1,1,1,3
1,1,0,0.0,0.9950222969055176,3,282,0,0,11,185
1,0,0,0.0,0.9988533258438109,1,123,0,0,0,28
1,0,0,0.0,0.9959902167320251,3,114,3,1,65,1416
1,0,0,0.0,0.9992533326148988,1,273,0,0,2,61
1,0,0,1.0,0.9972071051597596,4,70,0,0,0,37
0,0,0,1.0,0.9995914101600648,5,104,4,1,165,1809
0,1,1,1.0,0.9997789859771729,5,96,0,0,0,7
1,0,0,0.0,0.7814105153083801,4,125,0,0,1,13
0,1,1,1.0,0.9995341897010804,4,72,4,1,30,696
1,0,0,0.0,0.6496725082397461,5,93,1,1,4,75
0,0,0,1.0,0.9991520643234252,5,165,0,0,5,62
1,0,0,0.0,0.995589554309845,1,233,3,1,117,497
1,0,0,1.0,0.8734105229377747,5,31,0,0,0,1
1,0,0,0.0,0.9997056722640992,1,45,0,0,0,6
1,0,0,0.0,0.996887743473053,1,60,0,0,0,51
1,1,1,1.0,0.9996890425682068,4,47,1,1,13,232
1,0,0,1.0,0.999076247215271,2,238,0,0,44,839
0,1,1,1.0,0.9993208050727844,5,74,1,1,4,122
1,0,0,1.0,0.999871790409088,5,33,0,0,0,3
0,1,1,0.0,0.8545619249343872,4,121,0,0,0,31
0,0,0,0.0,0.9978299736976624,3,263,5,1,70,259
0,1,1,1.0,0.999888837337494,5,12,0,0,0,63
1,0,0,0.0,0.920149564743042,3,87,3,1,52,512
1,1,1,1.0,0.9915371537208556,5,99,3,1,13,225
1,1,1,1.0,0.9980830550193788,5,134,0,0,1,43
0,1,1,0.0,0.9851405620574952,1,59,0,0,0,5
1,0,0,0.0,0.9898058176040648,4,82,0,0,14,455
1,0,0,0.0,0.8588197827339172,4,196,0,0,0,16
1,0,0,1.0,0.9973487854003906,5,94,1,1,4,178
0,1,1,1.0,0.9996108412742616,5,127,1,1,0,26
1,0,0,0.0,0.9994611144065856,1,23,1,1,0,74
1,0,0,0.0,0.9991538524627686,1,162,1,1,0,8
1,1,1,1.0,0.9976420402526855,5,93,0,0,2,39
1,0,0,1.0,0.9955568313598632,4,147,1,1,1,16
1,1,0,1.0,0.9485657811164856,3,347,0,0,6,125
0,1,1,1.0,0.9011192917823792,3,120,0,0,0,10
1,0,0,1.0,0.998699188232422,4,102,1,1,14,248
1,1,1,0.0,0.9988496899604796,1,85,2,1,1,5
1,0,0,0.0,0.6110591888427734,1,31,0,0,0,1
0,1,1,1.0,0.9997355341911316,5,121,1,1,20,361
0,0,0,0.0,0.8430538773536682,4,177,1,1,0,9
0,1,1,1.0,0.9991199374198914,4,79,0,0,0,2
0,1,1,1.0,0.9998431205749512,5,25,0,0,0,15
1,0,0,0.0,0.8868269920349121,4,26,0,0,0,5
1,0,0,1.0,0.999171018600464,5,16,0,0,0,20
1,1,1,1.0,0.9947943091392516,4,159,0,0,2,103
1,0,0,1.0,0.624499499797821,2,38,0,0,1,38
